id,franchise,title,date,gross,rating
tt1245112,[REC],[Rec] 2,7/14/09,23266821,68
tt1649444,[REC],[REC] 3: Genesis,9/7/12,7250600,40
tt1649443,[REC],[REC] 4: Apocalypse,1/2/15,330894,71
tt0078748,Alien,Alien,5/25/79,203630630,97
tt0090605,Alien,Aliens,7/18/86,183316455,99
tt0118583,Alien,Alien: Resurrection,11/26/97,160700000,54
tt0370263,Alien,AVP: Alien vs. Predator,8/13/04,172543519,20
tt0758730,Alien,Aliens vs. Predator: Requiem,12/25/07,128884494,11
tt1446714,Alien,Prometheus,6/8/12,402448265,73
tt2316204,Alien,Alien: Covenant,5/19/17,238521247,66
tt0952640,Alvin and the Chipmunks,Alvin and the Chipmunks,12/14/07,362605033,28
tt1231580,Alvin and the Chipmunks,Alvin and the Chipmunks: The Squeakquel,12/23/09,443483213,20
tt1615918,Alvin and the Chipmunks,Alvin and the Chipmunks: Chipwrecked,12/16/11,349088523,11
tt2974918,Alvin and the Chipmunks,Alvin and the Chipmunks: The Road Chip,12/18/15,249517956,15
tt0163651,American Pie,American Pie,7/9/99,234723148,61
tt0252866,American Pie,American Pie 2,8/10/01,286500000,52
tt0328828,American Pie,American Wedding,8/1/03,126425115,54
tt1605630,American Pie,American Reunion,4/6/12,236799211,45
tt0078767,Amityville,The Amityville Horror,8/3/79,86432520,30
tt0083550,Amityville,Amityville II: The Possession,9/24/82,11328000,6
tt0085159,Amityville,Amityville 3-D,11/18/83,6333135,5
tt0384806,Amityville,The Amityville Horror,4/15/05,109175673,24
tt1935897,Amityville,Amityville: The Awakening,10/28/17,7701908,28
tt0096895,Batman,Batman,6/23/89,411348924,72
tt0103776,Batman,Batman Returns,6/18/92,266824291,80
tt0106364,Batman,Batman: Mask of the Phantasm,12/25/93,5617391,83
tt0112462,Batman,Batman Forever,6/16/95,336529144,39
tt0118688,Batman,Batman & Robin,6/20/97,238317814,10
tt0372784,Batman,Batman Begins,6/15/05,359142722,84
tt0468569,Batman,The Dark Knight,7/18/08,1001996207,94
tt1345836,Batman,The Dark Knight Rises,7/20/12,1084439099,87
tt2975590,Batman,Batman v Superman: Dawn of Justice,3/25/16,867500281,27
tt0071206,Benji,Benji,11/15/74,31559560,86
tt0092638,Benji,Benji the Hunted,6/5/87,15212539,56
tt0315273,Benji,Benji: Off the Leash!,8/20/04,3817362,33
tt0258463,Bourne,The Bourne Identity,6/14/02,214357371,83
tt0372183,Bourne,The Bourne Supremacy,7/23/04,311001124,81
tt0440963,Bourne,The Bourne Ultimatum,8/3/07,444043396,92
tt1194173,Bourne,The Bourne Legacy,8/10/12,280355920,56
tt4196776,Bourne,Jason Bourne,7/29/16,416168316,54
tt0086366,Cheech & Chong,Still Smokin,5/6/83,15543000,11
tt0094862,Child's Play,Child's Play,11/9/88,44196684,67
tt0099253,Child's Play,Child's Play 2,11/9/90,34166572,40
tt0103956,Child's Play,Child's Play 3,8/30/91,19850380,23
tt0144120,Child's Play,Bride of Chucky,10/16/98,50692188,46
tt0387575,Child's Play,Seed of Chucky,11/12/04,24716190,32
tt0770828,DC Extended Universe,Man of Steel,6/14/13,667999518,56
tt2975590,DC Extended Universe,Batman v Superman: Dawn of Justice,3/25/16,867500281,27
tt1386697,DC Extended Universe,Suicide Squad,8/5/16,746059887,27
tt0451279,DC Extended Universe,Wonder Woman,6/2/17,821133378,93
tt0974015,DC Extended Universe,Justice League,11/17/17,655945209,40
tt1477834,DC Extended Universe,Aquaman,12/21/18,1139091051,65
tt0071402,Death Wish,Death Wish,7/1/74,22000000,65
tt0089003,Death Wish,Death Wish 3,11/1/85,16116878,6
tt0092857,Death Wish,Death Wish 4: The Crackdown,11/6/87,6880310,14
tt1323594,Despicable Me,Despicable Me,7/9/10,543464573,81
tt1690953,Despicable Me,Despicable Me 2,7/3/13,975216835,74
tt2293640,Despicable Me,Minions,7/10/15,1160336173,56
tt3469046,Despicable Me,Despicable Me 3,6/30/17,1034822373,59
tt1196141,Diary of a Wimpy Kid,Diary of a Wimpy Kid,3/19/10,76954311,52
tt1650043,Diary of a Wimpy Kid,Diary of a Wimpy Kid: Rodrick Rules,3/25/11,73695194,47
tt2023453,Diary of a Wimpy Kid,Diary of a Wimpy Kid: Dog Days,8/3/12,77229695,51
tt6003368,Diary of a Wimpy Kid,Diary of a Wimpy Kid: The Long Haul,5/19/17,35609577,19
tt0095016,Die Hard,Die Hard,7/15/88,139109346,93
tt0099423,Die Hard,Die Hard 2,7/3/90,239814025,68
tt0112864,Die Hard,Die Hard with a Vengeance,5/19/95,366101666,53
tt0337978,Die Hard,Live Free or Die Hard,6/27/07,382288147,82
tt1606378,Die Hard,A Good Day to Die Hard,2/14/13,304249198,15
tt0066999,Dirty Harry,Dirty Harry,12/24/71,28153434,93
tt0070355,Dirty Harry,Magnum Force,12/28/73,44680473,81
tt0074483,Dirty Harry,The Enforcer,12/22/76,46200000,79
tt0086383,Dirty Harry,Sudden Impact,12/9/83,67642693,57
tt0094963,Dirty Harry,The Dead Pool,7/13/88,37903000,57
tt0092974,Ernest,Ernest Goes to Camp,5/22/87,23509382,62
tt0095107,Ernest,Ernest Saves Christmas,11/11/88,28202109,36
tt0099512,Ernest,Ernest Goes to Jail,4/6/90,25029569,13
tt0101821,Ernest,Ernest Scared Stupid,10/11/91,14143280,17
tt0106827,Ernest,Ernest Rides Again,11/12/93,1433496,14
tt0083907,Evil Dead,The Evil Dead,4/15/83,29400000,95
tt0092991,Evil Dead,Evil Dead II,3/13/87,5926177,98
tt1288558,Evil Dead,Evil Dead,4/5/13,97778356,62
tt0232500,Fast and the Furious,The Fast and the Furious,6/22/01,206512310,53
tt0322259,Fast and the Furious,2 Fast 2 Furious,6/6/03,236410607,36
tt0463985,Fast and the Furious,The Fast and the Furious: Tokyo Drift,6/16/06,157794205,36
tt1013752,Fast and the Furious,Fast & Furious,4/3/09,363064265,29
tt1596343,Fast and the Furious,Fast Five,4/29/11,630163454,77
tt1905041,Fast and the Furious,Fast & Furious 6,5/24/13,789300444,70
tt2820852,Fast and the Furious,Furious 7,4/3/15,1518722794,81
tt4630562,Fast and the Furious,The Fate of the Furious,4/14/17,1234846267,67
tt0195714,Final Destination,Final Destination,3/17/00,112036870,34
tt0309593,Final Destination,Final Destination 2,1/31/03,90396664,48
tt0414982,Final Destination,Final Destination 3,2/10/06,112798051,43
